iter	Passed	Remaining
0	60	59969
1	60	30115
2	60	20155
3	60	15183
4	61	12196
5	61	10203
6	61	8780
7	62	7709
8	62	6876
9	62	6207
10	63	5672
11	63	5229
12	63	4853
13	64	4530
14	64	4249
15	64	3997
16	65	3774
17	65	3575
18	65	3398
19	66	3240
20	66	3097
21	66	2965
22	67	2846
23	67	2736
24	67	2634
25	67	2540
26	68	2455
27	68	2375
28	68	2301
29	69	2232
30	69	2166
31	69	2106
32	69	2050
33	70	1996
34	70	1944
35	70	1896
36	71	1850
37	71	1807
38	71	1766
39	71	1727
40	72	1690
41	72	1655
42	72	1621
43	73	1588
44	73	1557
45	73	1527
46	73	1500
47	74	1472
48	74	1446
49	74	1421
50	75	1398
51	75	1375
52	75	1353
53	76	1332
54	76	1311
55	76	1290
56	76	1271
57	77	1253
58	77	1235
59	77	1218
60	78	1201
61	78	1185
62	78	1169
63	78	1153
64	79	1139
65	79	1124
66	79	1110
67	79	1093
68	80	1080
69	80	1066
70	80	1053
71	80	1041
72	81	1029
73	81	1017
74	81	1005
75	81	994
76	82	984
77	82	974
78	82	965
79	83	955
80	83	945
81	83	935
82	83	926
83	84	917
84	84	907
85	84	898
86	84	888
87	84	880
88	85	872
89	85	865
90	85	857
91	86	849
92	86	842
93	86	835
94	86	828
95	87	822
96	87	815
97	87	809
98	88	802
99	88	796
100	88	790
101	88	782
102	89	776
103	89	771
104	89	765
105	90	759
106	90	753
107	90	748
108	90	743
109	91	737
110	91	732
111	91	727
112	92	722
113	92	717
114	92	712
115	92	706
116	92	701
117	93	697
118	93	691
119	93	687
120	94	682
121	94	678
122	94	672
123	94	668
124	94	664
125	95	660
126	95	656
127	95	651
128	95	647
129	96	643
130	96	640
131	96	636
132	96	632
133	97	628
134	97	625
135	97	621
136	98	618
137	98	613
138	98	610
139	98	606
140	99	603
141	99	599
142	99	596
143	99	592
144	99	589
145	100	586
146	100	583
147	100	580
148	101	577
149	101	574
150	101	571
151	101	568
152	102	565
153	102	562
154	102	560
155	103	557
156	103	554
157	103	552
158	103	549
159	104	547
160	104	544
161	104	541
162	105	539
163	105	536
164	105	534
165	105	531
166	106	529
167	106	527
168	106	524
169	106	522
170	107	520
171	107	517
172	107	515
173	108	513
174	108	511
175	108	508
176	108	506
177	109	504
178	109	502
179	109	500
180	109	497
181	110	495
182	110	492
183	110	490
184	110	488
185	111	486
