iter	Passed	Remaining
0	0	502
1	0	401
2	1	369
3	1	364
4	1	357
5	2	347
6	2	339
7	2	332
8	2	324
9	3	326
10	3	322
11	3	317
12	4	312
13	4	313
14	4	308
15	4	305
16	5	305
17	5	321
18	6	353
19	7	352
20	7	349
21	7	350
22	8	374
23	9	374
24	9	369
25	9	365
26	10	360
27	10	357
28	10	354
29	10	351
30	11	352
31	11	349
32	11	347
33	12	344
34	12	341
35	12	340
36	12	337
37	13	335
38	13	332
39	13	330
40	14	328
41	14	327
42	14	333
43	15	346
44	16	344
45	16	342
46	16	340
47	17	338
48	17	336
49	17	334
50	17	332
51	18	330
52	18	328
53	18	327
54	18	325
55	19	323
56	19	321
57	19	320
58	19	318
59	20	318
60	20	320
61	21	321
62	21	320
63	21	318
64	22	318
65	22	320
66	22	319
67	23	319
68	23	318
69	23	317
70	24	315
71	24	314
72	24	312
73	24	311
74	25	311
75	25	310
76	25	308
77	26	307
78	26	306
79	26	305
80	26	305
81	27	304
82	27	301
83	27	300
84	27	300
85	28	300
86	28	300
87	28	299
88	29	299
89	29	299
90	29	299
91	30	298
92	30	297
93	30	296
94	31	295
95	31	294
96	31	293
97	31	292
98	32	292
99	32	291
100	32	290
101	32	289
102	33	288
103	33	287
104	33	286
105	33	286
106	34	285
107	34	284
108	34	284
109	35	284
110	35	284
111	35	283
112	35	282
113	36	281
114	36	281
115	36	280
116	36	278
117	37	278
118	37	277
119	37	277
120	38	276
121	38	275
122	38	275
123	39	276
124	39	276
125	39	276
126	40	275
127	40	275
128	40	275
129	41	274
130	41	273
131	41	273
132	41	272
133	42	272
134	42	272
135	42	272
136	43	272
137	43	271
138	43	271
139	44	270
140	44	270
141	44	269
142	44	269
143	45	268
144	45	268
145	45	268
146	46	267
147	46	267
148	46	266
149	46	266
150	47	265
151	47	265
152	47	265
153	48	264
154	48	264
155	48	263
156	49	263
157	49	263
158	49	263
159	50	263
160	50	262
161	50	261
162	50	260
163	51	260
164	51	259
165	51	259
166	51	258
167	52	258
168	52	258
169	52	258
170	53	257
171	53	257
172	53	257
173	54	257
174	54	256
175	54	255
176	54	255
177	55	254
178	55	254
179	55	253
180	55	253
181	56	252
182	56	252
183	56	251
184	57	251
185	57	250
186	57	250
187	57	249
188	58	249
189	58	249
190	58	248
191	59	248
192	59	247
193	59	247
194	59	247
195	60	247
196	60	246
197	60	246
198	61	245
199	61	245
200	61	245
201	62	245
202	62	245
203	62	244
204	63	244
205	63	243
206	63	243
207	63	243
208	64	242
209	64	242
210	64	241
211	64	241
212	65	241
213	65	241
214	65	240
215	66	240
216	66	240
217	66	240
218	67	239
219	67	240
220	68	241
221	68	241
222	69	241
